refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
XABLOD,Pd,4,2.9100,0.1200,0.4786,-0.6576
DUPGEA,Pd,4,8.4300,2.9100,0.9309,0.4786
AXEHOA,Ni,4,7.3000,2.6700,0.8692,0.4425
KAJLIR,Cu,4,2.6200,0.2000,0.4346,-0.5229
ITACEN,Cu,4,5.7400,1.1700,0.7664,0.1038
HUWLAN,Cu,4,5.1600,1.5600,0.7210,0.2201
FADJIH,Pd,4,7.1600,3.3700,0.8609,0.5403
DIYKAX,V,4,2.9700,0.0600,0.4871,-0.7959
YEHTAG,Ta,4,1.6100,5.0700,0.2330,0.7135
TEXCAA,Pd,4,10.3800,3.8400,1.0204,0.5955
DADDIA,Cu,4,1.7200,0.1800,0.2601,-0.5528
VEBLUN,Cu,4,2.7600,0.0500,0.4564,-0.8239
PATMON,Cu,4,1.0400,0.4600,0.0569,-0.2518
BAQSUJ,Pd,4,7.6400,3.7200,0.8887,0.5821
BAHGEZ,Ni,4,16.1000,15.8100,1.2095,1.2017
DEFVOA,Zn,4,2.7100,0.6000,0.4487,-0.1549
HUBYOV,Cu,4,5.3000,2.1400,0.7324,0.3502
IHOMAX,Pt,4,4.0900,1.4600,0.6222,0.1931
SAGJUF01,Cu,4,8.2200,2.6400,0.9201,0.4378
VODYUJ,Pd,4,3.0300,0.1600,0.4955,-0.5850
AYIMIE,Pt,4,2.9500,0.0600,0.4843,-0.7959
TUPCOY,Ir,4,8.7100,3.3000,0.9450,0.5315
HAQFIR,Cd,4,2.8100,0.2600,0.4639,-0.4437
ZUKCIR,Rh,4,8.4400,2.9900,0.9315,0.4900
XESLEN,Rh,4,6.3100,2.5800,0.8069,0.4281
ZEHQEI,Pd,4,2.9100,0.0300,0.4786,-0.8861
TEVMEO,Pd,4,9.2600,3.1800,0.9713,0.5159
PALKEU01,Pd,4,3.1300,0.3100,0.5092,-0.3872
HUKXIX,Zn,4,5.6500,1.1800,0.7597,0.1072
QARPAB01,Cu,4,9.2000,2.9000,0.9685,0.4771
VAWJOV,Cu,4,1.4300,0.2600,0.1847,-0.4437
KATZAG,Cu,4,2.6500,0.2900,0.4393,-0.4089
AFEGAU,Ni,4,5.8600,11.1000,0.7752,1.0492
FORBUK,Ni,4,9.0100,2.9000,0.9595,0.4771
ZALWER,Cu,4,6.4400,2.2000,0.8156,0.3617
PAXQEN,Pt,4,8.7600,2.9900,0.9474,0.4900
MENKEZ,Pd,4,3.2700,0.5200,0.5276,-0.2076
KATJEV,Pd,4,8.4500,2.9700,0.9320,0.4871
FITDIX,Pd,4,3.4800,0.7500,0.5539,-0.0706
HOPBUJ,Zn,4,3.1300,0.2400,0.5092,-0.4685
MAWZAM,Pt,4,8.2900,3.0300,0.9238,0.4955
DIXBOD,Ni,4,3.1600,0.3000,0.5132,-0.3979
DECKIH,Fe,4,2.5600,1.0300,0.4249,0.0531
NOGZOA,Cu,4,4.9500,1.0200,0.7033,0.0492
DEXCOA,Pd,4,8.4100,3.0100,0.9299,0.4928
MUWCEM,Ni,4,3.5000,0.1300,0.5563,-0.6383
MIGVUX,Co,4,2.8900,0.0000,0.4757,-1.0000
VOMGEL,Au,4,8.7100,3.3000,0.9450,0.5315
JOBWIJ,Pd,4,2.9200,0.0300,0.4800,-0.8861
BITTOR,Ni,4,2.9100,0.0300,0.4786,-0.8861
QIKQOT,Pt,4,8.5500,2.8700,0.9370,0.4728
TAKPIF,Au,4,2.9800,0.0900,0.4886,-0.7212
ELAZIB,Cu,4,19.6500,24.1900,1.2956,1.3854
NOBGOA,Mo,4,3.5300,0.1900,0.5599,-0.5376
CORQUW,Zn,4,2.6600,0.2000,0.4409,-0.5229
TIZHIU,Pd,4,11.7800,10.3700,1.0748,1.0199
KOKZOA,Pd,4,7.2900,3.5600,0.8686,0.5635
WODDAU,Hg,4,1.5500,0.3000,0.2175,-0.3979
WEHNUT,Zn,4,15.2700,7.5400,1.1867,0.8831
NAHLEO,Ni,4,3.3500,0.5900,0.5378,-0.1612
UPOYUW,Pt,4,7.9700,3.0400,0.9069,0.4969
GUNDAV,Pd,4,9.1900,3.3400,0.9680,0.5366
ZEYHET,Ni,4,19.6000,19.8000,1.2945,1.2989
CICKIM,Cd,4,3.3900,0.1200,0.5428,-0.6576
BOGQIX,Co,4,10.0400,2.2600,1.0060,0.3729
XORVEH,Pd,4,8.9900,3.1500,0.9586,0.5119
IDENOV02,Zn,4,2.5800,0.0200,0.4281,-0.9208
KITCUM,V,4,3.2100,0.1200,0.5198,-0.6576
COTUCL13,Co,4,3.8800,0.1000,0.5999,-0.6990
IHONUS,Pt,4,3.7200,1.0100,0.5821,0.0453
DIRGIY,Pt,4,8.1100,2.9700,0.9143,0.4871
NOHLON,Zn,4,4.2900,0.7000,0.6425,-0.0969
KATRON,Cu,4,3.3200,0.5500,0.5340,-0.1871
QELDOA,Pd,4,8.4100,3.0700,0.9299,0.5011
WULSUT,Rh,4,8.6000,2.9400,0.9395,0.4829
NAXREK,Pd,4,8.7000,3.2000,0.9445,0.5185
FUFDUH,Pt,4,9.0900,3.0100,0.9633,0.4928
NEVTIS,Pt,4,8.8500,3.1700,0.9518,0.5145
MUBXUC,Ti,4,2.8300,0.1100,0.4669,-0.6778
HINBOV01,Ru,4,3.0300,0.2400,0.4955,-0.4685
YADPAW,Co,4,2.9600,0.6700,0.4857,-0.1135
JOPDEZ,Au,4,2.9100,0.0300,0.4786,-0.8861
ZEJWOC,Ni,4,3.0000,0.1700,0.4914,-0.5686
YIMJIQ,Ni,4,2.9400,0.2900,0.4829,-0.4089
XEKHIE,Pt,4,9.7400,3.0300,0.9930,0.4955
CILGIO,Cr,4,8.7700,2.4900,0.9479,0.4133
VUPMIE,Pt,4,8.4600,3.0000,0.9325,0.4914
WUJMIB16,Pd,4,7.6700,3.0800,0.8904,0.5024
GAPRUN,Pt,4,8.8900,2.9700,0.9538,0.4871
TACTIE,Ni,4,2.7600,0.1200,0.4564,-0.6576
ISUROE,W,4,2.8600,2.7200,0.4713,0.4502
FUHKOK,Zn,4,2.1300,0.3000,0.3483,-0.3979
QIXKAK,Cu,4,3.9700,0.1300,0.6096,-0.6383
NOFTOT,Ni,4,11.6800,10.3700,1.0711,1.0199
JUJCEA,Zn,4,3.1300,0.0100,0.5092,-0.9586
XADKET01,Ni,4,2.8900,0.0100,0.4757,-0.9586
YOGBEC,Pt,4,9.8500,7.5600,0.9978,0.8842
TOWNUR,Pt,4,3.1900,0.3000,0.5172,-0.3979
HUHBIY,Ni,4,5.0600,0.7800,0.7126,-0.0555
YIRTAX,Cd,4,3.2700,0.0600,0.5276,-0.7959
LUBREF,Pd,4,9.3300,3.0700,0.9745,0.5011
BUXYAY,Pd,4,3.0000,0.1700,0.4914,-0.5686
IFAYIA,Co,4,8.5100,2.8800,0.9350,0.4742
BARTAS,Pt,4,9.3800,7.5300,0.9768,0.8825
LIHNUM,Pd,4,9.1700,3.0200,0.9671,0.4942
OJELOE,Zn,4,3.5600,0.2400,0.5635,-0.4685
JOTQIW,Pd,4,8.6500,2.9600,0.9420,0.4857
CEPPEV,Pd,4,7.1300,3.5000,0.8591,0.5563
HISVOY,Rh,4,8.4300,3.3700,0.9309,0.5403
UFIBOD,Pd,4,3.3000,0.5200,0.5315,-0.2076
ZUYVIB,Cu,4,22.0900,20.8800,1.3462,1.3218
LIDKUE,Zn,4,5.1800,2.0600,0.7226,0.3345
HIZYIZ,Co,4,2.0400,1.8300,0.3304,0.2856
XIRWIH,Cu,4,4.0300,1.4300,0.6160,0.1847
RUDSIT,Ni,4,8.7800,19.3200,0.9484,1.2882
ODOZEO,Ni,4,8.7700,3.1900,0.9479,0.5172
XAPLUW,Pd,4,2.9200,0.0500,0.4800,-0.8239
QIHYAJ,Pd,4,8.5700,2.8800,0.9380,0.4742
FAPCEI,Co,4,3.0600,0.0100,0.4997,-0.9586
JOCLIW01,Re,4,2.9200,0.0100,0.4800,-0.9586
FADLAB,Pd,4,2.9800,0.1200,0.4886,-0.6576
IVIXET,Ag,4,11.9200,5.2900,1.0799,0.7316
TUPXEJ,Pd,4,8.3500,3.3400,0.9269,0.5366
TAVQIT01,Hg,4,4.8400,2.9700,0.6937,0.4871
JITCIC,Cu,4,1.9300,0.1700,0.3075,-0.5686
UZOWAJ,Ir,4,3.3100,0.5300,0.5328,-0.2007
PEXZUP,Au,4,8.4600,2.7900,0.9325,0.4609
UYEQUL,Ni,4,13.3600,24.1200,1.1290,1.3842
OHEHEP,Zn,4,4.6100,0.7100,0.6730,-0.0915
NAKKUF,Pd,4,8.3600,2.8200,0.9274,0.4654
HUFVAJ,Au,4,8.7100,3.0900,0.9450,0.5038
EZEHOJ,Cu,4,2.9000,0.0300,0.4771,-0.8861
SAZNAL,Rh,4,8.4500,2.9100,0.9320,0.4786
RIZKES,Pd,4,3.2200,0.4300,0.5211,-0.2757
DAVGOY,Pt,4,3.2300,0.4500,0.5224,-0.2596
BOLNEV01,Ni,4,2.9100,0.0400,0.4786,-0.8539
DUGMIE,Mn,4,3.0600,0.4900,0.4997,-0.2291
FIHZIG,Fe,4,2.9600,0.0100,0.4857,-0.9586
WIXSUR,Pt,4,9.2600,3.0100,0.9713,0.4928
FORWOZ,Pt,4,2.9900,0.1300,0.4900,-0.6383
YICBEV,Pd,4,8.7600,2.9500,0.9474,0.4843
PAVNIK,Pt,4,2.8800,0.0000,0.4742,-1.0000
VIDXUE,Pd,4,2.8900,0.0000,0.4757,-1.0000
CECRAH,Pd,4,8.8200,3.1000,0.9504,0.5051
NOVJAM,Pd,4,8.6100,2.9100,0.9400,0.4786
NONHUU01,Pd,4,2.9600,0.2400,0.4857,-0.4685
VICMOK,Mn,4,2.3200,0.1100,0.3838,-0.6778
QOTTOM,Pd,4,2.9300,0.1000,0.4814,-0.6990
SUHDUV,Pd,4,3.0000,0.1800,0.4914,-0.5528
IZIFED,Zn,4,4.4100,1.3500,0.6542,0.1614
TOCRAG,Pd,4,3.0200,0.2000,0.4942,-0.5229
AJILOU,Ni,4,2.8800,0.0000,0.4742,-1.0000
YEZZIN,Mo,4,3.0000,2.6900,0.4914,0.4456
EBOHAE,Pd,4,2.9400,0.0600,0.4829,-0.7959
YIGPAF,Pd,4,7.8400,5.1800,0.8998,0.7226
TAMQED01,Zn,4,2.9100,0.0200,0.4786,-0.9208
JONKAC,Pt,4,2.9200,0.0500,0.4800,-0.8239
XAHYIS,Cd,4,3.3200,0.0300,0.5340,-0.8861
MENBAI,Co,4,3.2600,0.0200,0.5263,-0.9208
DUPXUL,Pd,4,7.2800,3.2400,0.8681,0.5237
KOMBOE,Pd,4,7.9500,2.9700,0.9058,0.4871
POHTOV,Zn,4,2.0100,1.0500,0.3243,0.0607
FOKQAX,Pd,4,3.2100,0.4100,0.5198,-0.2924
QELVAE,Pd,4,3.1600,0.3500,0.5132,-0.3468
ACIVOX,Pd,4,8.4700,2.9700,0.9330,0.4871
JIWCIC,Ag,4,9.1200,3.0100,0.9647,0.4928
RUKRAR,Ag,4,3.6100,0.1300,0.5694,-0.6383
GIBKEK,Pt,4,8.0300,3.2000,0.9101,0.5185
SAQMEF,Cu,4,2.6400,0.4500,0.4378,-0.2596
DOQTOT,Pd,4,8.5900,3.0300,0.9390,0.4955
WIKVIX,Ir,4,8.6800,3.0400,0.9435,0.4969
KUMXAT,Fe,4,3.3700,0.8600,0.5403,-0.0177
WUYXIB,Pd,4,3.2200,0.4000,0.5211,-0.3010
SAQLEE,Ni,4,3.0200,0.1800,0.4942,-0.5528
VUNNIE,Zn,4,5.2800,0.9900,0.7308,0.0374
HAQGOX,Pd,4,8.2400,2.9100,0.9212,0.4786
ZUZBAA09,Pt,4,3.1200,0.2100,0.5079,-0.5086
NIHQAX,Fe,4,3.4600,0.4200,0.5514,-0.2840
FOZGAE,Ni,4,8.4800,2.9200,0.9335,0.4800
TAWYIB,Pd,4,7.9300,2.9400,0.9047,0.4829
SULRIE,Pd,4,9.5900,3.0000,0.9863,0.4914
ABETIL,Cu,4,4.0600,0.3800,0.6191,-0.3188
VINVUL,Pd,4,8.7000,3.0700,0.9445,0.5011
LUBFEW,Ag,4,5.0900,2.0100,0.7152,0.3243
RIBZIL,Pd,4,2.8900,0.0100,0.4757,-0.9586
AREQET,Pd,4,9.6200,3.0000,0.9877,0.4914
DUQZOF,Cu,4,7.5400,9.0300,0.8831,0.9605
NANMUK,Cu,4,2.7900,1.0600,0.4609,0.0645
LAZDIZ,Zn,4,11.1600,2.8600,1.0515,0.4713
INIWUX,Pd,4,9.3900,3.0000,0.9773,0.4914
CAGPOU,Cu,4,4.5300,1.7500,0.6656,0.2672
IPONUW,Pt,4,2.9900,0.1500,0.4900,-0.6021
UFIYAM,Pd,4,9.1900,3.0100,0.9680,0.4928
CORQAC01,Zn,4,2.8800,0.0000,0.4742,-1.0000
CUXVAS,Pt,4,2.9400,0.1000,0.4829,-0.6990
REQCUO04,Ag,4,7.2200,2.0600,0.8645,0.3345
CIBHEB,Hg,4,3.7500,1.0700,0.5855,0.0682
SUWVOY,Hg,4,3.4200,0.1500,0.5465,-0.6021
ELUQEI,Cu,4,5.7700,1.1300,0.7686,0.0899
EPEFIP01,Co,4,3.5900,0.0900,0.5670,-0.7212
XOLCEI,Au,4,8.1700,3.0000,0.9175,0.4914
RABSEW,Fe,4,3.4000,0.7200,0.5441,-0.0862
TINREN02,Cu,4,3.3200,0.1600,0.5340,-0.5850
FUQHEI,Pt,4,3.0900,0.1900,0.5038,-0.5376
JODDIT,Hg,4,1.5600,1.0700,0.2201,0.0682
SOYFER,Cd,4,1.9200,0.3200,0.3054,-0.3768
VUDXEB,Pd,4,3.2600,0.3700,0.5263,-0.3279
PAYWOE,Pd,4,8.9800,3.0400,0.9581,0.4969
HIWMEF,Cu,4,8.7400,2.8900,0.9465,0.4757
TAWXAS,Pd,4,8.2500,2.9900,0.9217,0.4900
YONWUT,Mn,4,3.1400,0.5000,0.5105,-0.2218
HAZTOV,Zn,4,1.1200,0.7800,0.0864,-0.0555
ZOSRAA,Cu,4,2.0500,0.1100,0.3324,-0.6778
LETCOF,Cu,4,2.9600,0.1800,0.4857,-0.5528
OGULIN,Ni,4,2.7700,0.0200,0.4579,-0.9208
YAMHEC,Pt,4,7.6100,3.0800,0.8871,0.5024
ZZZNOO12,Cu,4,8.5500,16.5300,0.9370,1.2209
NIFXAF,Rh,4,8.7900,3.1300,0.9489,0.5092
POZFAO,Ni,4,2.9500,0.0800,0.4843,-0.7447
SIGXOX,Zn,4,4.2900,0.8800,0.6425,-0.0088
QEBDOQ,Ni,4,7.0700,2.5400,0.8555,0.4216
EHEPEP,Au,4,2.9400,0.0700,0.4829,-0.7696
IWOJEK,Pd,4,8.2000,2.9800,0.9191,0.4886
IBEYIZ,Pd,4,3.1000,0.4400,0.5051,-0.2676
CEFJOP,Cu,4,1.1700,0.3900,0.1038,-0.3098
MEDJOU,Pt,4,3.2400,0.3100,0.5237,-0.3872
ASOZAJ,Ni,4,2.9000,0.0200,0.4771,-0.9208
VASTAK01,Re,4,2.9800,0.1800,0.4886,-0.5528
TOGZOI,Ni,4,2.7500,1.0100,0.4548,0.0453
IFUROQ,Ni,4,15.3500,20.0500,1.1889,1.3043
VATGUU,Cu,4,2.9000,0.0200,0.4771,-0.9208
HUJYER,Pd,4,8.7300,2.9200,0.9460,0.4800
AFOSUM,Cr,4,8.7700,2.8600,0.9479,0.4713
CIJYIF,Cu,4,9.0100,3.0700,0.9595,0.5011
ZISDUE,Pt,4,8.8100,2.9000,0.9499,0.4771
WOQQEY,Pd,4,2.8800,0.0000,0.4742,-1.0000
CAMSAM,Pd,4,3.2300,0.3600,0.5224,-0.3372
IFACUN,Cu,4,15.3200,22.4000,1.1881,1.3522
CETDUD,Pd,4,9.6600,6.6300,0.9894,0.8280
BAPJUY,Pd,4,7.8400,3.1100,0.8998,0.5065
LUZBOZ,Pt,4,9.3000,3.8000,0.9731,0.5911
CIJNUF01,Hg,4,2.9100,0.3400,0.4786,-0.3565
SESQEO,Ru,4,6.2000,2.5100,0.7993,0.4166
IMIBUE,Cu,4,2.9500,0.0600,0.4843,-0.7959
KAVZAJ,Pt,4,9.1900,2.9900,0.9680,0.4900
XUYWIY,Pd,4,7.8900,2.6700,0.9025,0.4425
RENBIW,Ni,4,8.9800,21.7300,0.9581,1.3391
HOKSEF,Pd,4,9.8000,9.2100,0.9956,0.9689
TAWVIW,Cu,4,8.3800,2.9500,0.9284,0.4843
ESOVIS,Fe,4,3.7900,0.8900,0.5899,-0.0044
UJEHUM,Ti,4,4.7700,0.2500,0.6875,-0.4559
UNELUV,Co,4,2.8400,0.0100,0.4683,-0.9586
QUMQCO,Co,4,3.0700,0.2500,0.5011,-0.4559
IREZEN,Pd,4,3.2800,0.3800,0.5289,-0.3188
QUNFEM,Ni,4,2.9300,0.1900,0.4814,-0.5376
ONEZEO,Hg,4,1.5000,1.3900,0.2041,0.1732
GUFFUI,Cd,4,5.4700,1.1500,0.7459,0.0969
DEJROA,Mn,4,2.7400,0.0100,0.4533,-0.9586
DEXLOJ06,Pd,4,9.0500,3.4500,0.9614,0.5502
XOFSOC,Pd,4,8.2600,3.0100,0.9222,0.4928
PIMDUN,Cu,4,5.7300,1.1800,0.7657,0.1072
MOZSUQ,Cd,4,2.7600,0.1000,0.4564,-0.6990
PDDMSX14,Pd,4,2.9300,0.0400,0.4814,-0.8539
OTEVUH,Ag,4,3.0200,0.1200,0.4942,-0.6576
QOSTAT,Ni,4,9.1400,2.9900,0.9657,0.4900
BURCIA,Ni,4,9.6100,2.0100,0.9872,0.3243
YATLUC,Ni,4,3.8000,2.5100,0.5911,0.4166
XIKYEZ,Mn,4,2.7900,0.0400,0.4609,-0.8539
XECFAN01,Pd,4,2.8800,0.0000,0.4742,-1.0000
DIDGEE,Cu,4,8.1100,3.0600,0.9143,0.4997
CASWUR,Co,4,2.5000,0.0400,0.4150,-0.8539
OKAGOZ,Ni,4,3.0900,0.2400,0.5038,-0.4685
MEKCUB,Co,4,2.9300,0.0100,0.4814,-0.9586
DUDWEI,Mn,4,2.8900,0.0500,0.4757,-0.8239
IXEBIX,Pd,4,8.1500,2.8200,0.9165,0.4654
GUKGIC,Zn,4,3.0500,0.1800,0.4983,-0.5528
GUDPIH,Co,4,2.9000,0.3200,0.4771,-0.3768
TAKTOQ,Cu,4,6.8500,1.0100,0.8420,0.0453
QAPZEQ,Co,4,3.1500,0.3400,0.5119,-0.3565
FAFZAR,Pt,4,3.0800,0.2700,0.5024,-0.4318
PATGUN,Pd,4,8.3200,3.2100,0.9253,0.5198
GIZFIE,Rh,4,8.5200,2.9300,0.9355,0.4814
KAWBEP,Ni,4,8.7800,3.0200,0.9484,0.4942
QIYVEB,Ni,4,17.5400,15.7500,1.2465,1.2000
IYALEA,Cu,4,3.8000,0.2900,0.5911,-0.4089
COCTAR,Pd,4,9.8200,3.2300,0.9965,0.5224
PUVLEZ,Zn,4,0.7500,0.7400,-0.0706,-0.0757
TIQZEZ01,Pd,4,7.2300,3.5100,0.8651,0.5575
DIBRAI,Pt,4,8.2400,2.8400,0.9212,0.4683
BUCDAG,Cu,4,7.1600,1.9900,0.8609,0.3201
XIDKUR,Pt,4,8.5800,3.0100,0.9385,0.4928
TEBYEH,Pd,4,8.6400,3.1300,0.9415,0.5092
ALSACU12,Cu,4,2.9200,0.0500,0.4800,-0.8239
DEDVEP,Zn,4,9.6400,13.9900,0.9886,1.1489
ILEDOS,Pt,4,8.2500,2.9600,0.9217,0.4857
FUVMAM,Cr,4,9.6400,10.0300,0.9886,1.0056
OMOJIL,Cu,4,6.2000,1.5600,0.7993,0.2201
REPFEZ,Hg,4,4.4600,0.5300,0.6590,-0.2007
RAVGAW,Rh,4,7.1200,7.0800,0.8585,0.8561
HOHNIC,Ni,4,9.6900,3.1000,0.9908,0.5051
OJEFEQ,Rh,4,3.4400,0.5400,0.5490,-0.1938
CAMCOJ,Rh,4,3.2000,0.4300,0.5185,-0.2757
FUMXAO,Fe,4,4.7500,1.1100,0.6857,0.0828
NOCRON,Au,4,8.6500,2.9200,0.9420,0.4800
ACACCU36,Cu,4,2.9500,0.0600,0.4843,-0.7959
NUWQAX01,Pd,4,8.5400,2.8900,0.9365,0.4757
JODNEZ,Cd,4,5.7500,2.5500,0.7672,0.4232
QERTAJ,Zn,4,2.2700,0.3700,0.3747,-0.3279
KEZNIO01,Co,4,3.1200,0.5500,0.5079,-0.1871
PAYNEJ01,Pt,4,3.3100,0.4900,0.5328,-0.2291
YUZXUM,Ni,4,2.9200,0.0400,0.4800,-0.8539
TOQQOH,Zn,4,4.5900,3.9100,0.6712,0.6031
XOVFIX,Pd,4,3.2000,0.4100,0.5185,-0.2924
RESVIV,Cu,4,2.9800,0.2200,0.4886,-0.4949
FIRXAG,Au,4,3.1000,0.2700,0.5051,-0.4318
GUCDAM,Cu,4,10.7500,22.8400,1.0354,1.3606
KUFHUP,Pd,4,8.8800,3.2600,0.9533,0.5263
HOXMOY,Rh,4,8.8300,3.0600,0.9509,0.4997
CALQEN,Pt,4,8.6800,2.9600,0.9435,0.4857
USEDED,Zn,4,2.1500,0.4300,0.3522,-0.2757
TEJWIQ,Zn,4,1.4800,0.5000,0.1987,-0.2218
CATROF,Pt,4,8.9000,2.8900,0.9542,0.4757
LEZDEA,Ag,4,4.3100,3.0900,0.6444,0.5038
CADBAO,Cu,4,2.8800,0.0000,0.4742,-1.0000
BQDXPT07,Pt,4,3.3400,0.4000,0.5366,-0.3010
UZEVEC,Pd,4,10.2100,3.4200,1.0133,0.5465
RAFZEH,Co,4,3.1100,0.0100,0.5065,-0.9586
RUWSOU,Cr,4,7.9400,2.6500,0.9053,0.4393
SUQCOZ,Rh,4,2.9700,0.1300,0.4871,-0.6383
FOGPUM,Fe,4,3.3700,0.7700,0.5403,-0.0605
CABQUS,Ni,4,2.9300,0.0500,0.4814,-0.8239
SARSUB,Pd,4,8.8800,3.0800,0.9533,0.5024
COVLUX03,Ni,4,2.9100,0.0300,0.4786,-0.8861
GOLKUN,Co,4,2.5900,0.0200,0.4298,-0.9208
CEYROP,Zn,4,4.9400,0.7100,0.7024,-0.0915
VEYTEA,Fe,4,2.4800,0.1100,0.4116,-0.6778
CEVTED,Pd,4,8.9300,3.2500,0.9557,0.5250
YAZLUI,Pd,4,3.0900,0.2300,0.5038,-0.4815
IKICIS,Cu,4,9.0800,2.9500,0.9628,0.4843
OKUXEX,Cu,4,1.4100,0.3100,0.1790,-0.3872
EGIKIP,Pt,4,9.5600,3.0000,0.9850,0.4914
UHECIU,Pd,4,8.8400,3.0900,0.9513,0.5038
IVAMAV,Pd,4,3.1600,0.4200,0.5132,-0.2840
URUVEK,Cu,4,2.9000,0.0200,0.4771,-0.9208
VEWQAS,Ir,4,8.7400,4.0800,0.9465,0.6212
BEYXEL,Co,4,2.9000,0.0100,0.4771,-0.9586
WELMIJ,Co,4,3.3800,0.1100,0.5416,-0.6778
CUBRIA,Ni,4,3.0500,0.2600,0.4983,-0.4437
PAKWIJ,Cu,4,2.7300,0.0100,0.4518,-0.9586
XIYTOS,Au,4,8.1000,2.9600,0.9138,0.4857
UYOCER,Ni,4,2.9400,0.1700,0.4829,-0.5686
UCUGUU,Ir,4,8.6600,3.0600,0.9425,0.4997
SOGVUG02,Ni,4,3.1600,0.3100,0.5132,-0.3872
LILSEF,Ni,4,16.7400,14.0600,1.2263,1.1511
JIHHEN,Pt,4,8.1800,3.0600,0.9180,0.4997
HERDEN,Ni,4,3.2900,0.0400,0.5302,-0.8539
YABRAZ,Pt,4,3.2800,0.4500,0.5289,-0.2596
LIBMIV,Cu,4,3.2400,0.4600,0.5237,-0.2518
IMULOS,Zn,4,2.6400,0.1300,0.4378,-0.6383
JOGSED,Ni,4,12.3900,14.8400,1.0966,1.1744
ODUCAV,Pt,4,9.4500,2.9800,0.9800,0.4886
EREJUH,Zn,4,2.9800,0.1800,0.4886,-0.5528
ZUQXAM,Pd,4,10.3600,3.4700,1.0195,0.5527
XAYHUD01,Pd,4,3.4800,0.8700,0.5539,-0.0132
KUVPOK,Pt,4,8.0100,3.0000,0.9090,0.4914
QICLEU,Pt,4,10.0200,3.2600,1.0052,0.5263
LIKXAG,Pt,4,3.3800,0.4300,0.5416,-0.2757
CISJOF,Ni,4,18.5500,19.7600,1.2707,1.2980
AGUZUY,Ti,4,2.5600,0.1900,0.4249,-0.5376
QIGCAO,Pd,4,8.7200,3.0600,0.9455,0.4997
WEQZAT01,Zn,4,3.3200,0.8500,0.5340,-0.0223
TUWJOO,Zn,4,2.6500,0.2000,0.4393,-0.5229
DIJQOC,Rh,4,8.7300,3.0500,0.9460,0.4983
CIVJEZ,Pd,4,8.6100,2.8600,0.9400,0.4713
TAPNUW,Pd,4,8.9200,2.9700,0.9552,0.4871
HOCMET,Pt,4,3.1400,0.3300,0.5105,-0.3665
SAJCEM,Pt,4,2.9500,0.0800,0.4843,-0.7447
ZUGPUO,Pt,4,9.4100,2.9800,0.9782,0.4886
ESUVIY,Co,4,3.2100,0.2200,0.5198,-0.4949
MOCFUH,Au,4,2.9600,0.1100,0.4857,-0.6778
CEZQAC,Co,4,13.4200,10.4400,1.1310,1.0228
ISIROR,Zn,4,3.6500,0.0900,0.5740,-0.7212
NESNIK,Zn,4,3.0400,0.0100,0.4969,-0.9586
KEYKAB,Zn,4,3.6600,0.7900,0.5752,-0.0506
FOJBUB02,Ni,4,2.8800,0.0000,0.4742,-1.0000
POZVUW,Ni,4,8.4000,3.1800,0.9294,0.5159
TENGAX,Zn,4,1.7400,0.3700,0.2648,-0.3279
ZESVEA,Cd,4,6.1800,2.2600,0.7980,0.3729
LAFXEY01,Ni,4,8.8600,2.8000,0.9523,0.4624
WABWED,Zn,4,2.2300,0.2800,0.3674,-0.4202
XILYUM,Pd,4,3.1500,0.3500,0.5119,-0.3468
SUGVIC,Zn,4,3.5400,0.7700,0.5611,-0.0605
AGECAR,Pt,4,4.1200,1.5100,0.6253,0.2068
XUVDIE,Y,4,10.0700,2.3800,1.0073,0.3945
TOLDEF,Zn,4,15.5700,11.7400,1.1951,1.0734
KUSBIN,Pd,4,3.1600,0.4900,0.5132,-0.2291
XOZMUU,Pd,4,3.2200,0.4200,0.5211,-0.2840
DODHAG,Re,4,7.6500,3.3600,0.8893,0.5391
EVOBIA,Cu,4,12.0100,14.1100,1.0831,1.1526
JOBTOJ,Ag,4,3.9100,1.8200,0.6031,0.2833
ECIBIC,Pd,4,8.5300,3.5500,0.9360,0.5623
DOTREL,Pt,4,9.1300,13.7100,0.9652,1.1402
ZUXZUQ,Pd,4,3.1100,0.4300,0.5065,-0.2757
FISYOX,Pd,4,3.5000,0.8100,0.5563,-0.0410
JUWDEK02,Pd,4,2.9500,0.0900,0.4843,-0.7212
KEKNOE,Pd,4,8.5100,3.0700,0.9350,0.5011
VOSZEL,Ni,4,2.1300,0.1600,0.3483,-0.5850
HIRMEE,Ni,4,12.1600,9.3600,1.0885,0.9759
MICVAX,Ni,4,12.5100,23.3900,1.1007,1.3709
HENSUO,Cu,4,8.9600,8.2900,0.9571,0.9238
YOCGIK,Pd,4,2.9700,0.1000,0.4871,-0.6990
WUGSUQ,Pt,4,9.0600,3.5400,0.9619,0.5611
JIZBAW,Mn,4,2.4300,0.0300,0.4031,-0.8861
SAGLAC,Cu,4,11.9200,11.1000,1.0799,1.0492
RIBVAR,Cu,4,9.3600,13.0800,0.9759,1.1199
IZAYAK,Pt,4,9.2400,2.9800,0.9703,0.4886
BUCHOA,Mn,4,3.5300,0.0400,0.5599,-0.8539
DEBFOF01,Pd,4,16.3200,14.6000,1.2154,1.1673
WUGTUN,Co,4,2.9000,0.3300,0.4771,-0.3665
